"Year","HIC","LIC","MIC","WLD"
"X1960",45.4859789607314,136.933902048012,95.0228315380062,86.1630990951237
"X1961",45.3194153037987,137.349313826818,95.0977736234294,86.013928538601
"X1962",45.1168599815189,137.536616223002,94.692200242657,85.534682950565
"X1963",44.5061215738444,137.470739668902,93.1455101854503,84.2076939903545
"X1964",43.8989433305871,137.591867602136,91.5263615443918,82.9355856134168
"X1965",43.3557642637253,137.996187393837,89.9301823952122,81.8329723313275
"X1966",42.9462612749883,138.379119189241,88.3497570934536,80.8314432315803
"X1967",42.5960969574021,139.124008323467,86.7670351222026,79.9409176491316
"X1968",42.3644849267691,139.864142968998,84.4652720282642,78.5786955878697
"X1969",42.0326060620708,140.199859837098,82.3723756407643,77.2428528858205
"X1970",41.7003757984299,139.950045634613,80.5854883885734,76.0326519674209
"X1971",41.3386506753267,139.247260220519,78.9731062836991,74.8344755535746
"X1972",40.9022406913549,138.034766195136,77.7768560100275,73.8782553864615
"X1973",40.2379355772916,136.76687341725,77.3975147001402,73.4732710239581
"X1974",39.4715022945428,135.789385973054,76.9856489830215,73.040547595378
"X1975",38.6681885973604,135.336958532046,76.3278157347047,72.4720852036177
"X1976",37.8510020597176,135.177844791649,75.3898849074108,71.7166137817854
"X1977",36.9551928321923,135.47775659266,74.1895924433406,70.7813965519495
"X1978",36.1094737119887,135.72680023994,73.6795566222545,70.3726217992721
"X1979",35.2419876503885,135.84771734593,73.1102839047728,69.9265950587668
"X1980",34.368922636511,135.647571665719,72.5875151392874,69.5238416751646
"X1981",33.5101554971018,135.070169545703,71.9855345666121,69.05137662775
"X1982",32.6642319360017,134.308221926593,71.4021080469813,68.6202471613268
"X1983",32.088959001311,133.167243013954,70.6496341991996,68.1016440842051
"X1984",31.4997965068006,132.123384974356,70.0723964454709,67.7147337783988
"X1985",30.9022340181579,131.271946310561,69.6699734376398,67.45576911301
"X1986",30.3103644471336,130.557209512858,69.3914915905815,67.266930309891
"X1987",29.7115239631747,129.962477579846,69.2413439184683,67.175741029245
"X1988",29.6439650719313,129.722695159905,68.2043648642395,66.5007113794045
"X1989",29.6299694100359,129.656462788329,67.2822235488617,65.9378036188804
"X1990",29.7118186477204,129.753708899343,66.4627368016339,65.4909447853953
"X1991",29.8608774786564,129.926524172598,65.7243606582748,65.1103989251526
"X1992",30.1339607353322,130.260619327719,65.0410043663218,64.8285779834119
"X1993",29.653804017249,130.330954156916,64.0201169390546,64.1523699702305
"X1994",29.1417625631831,130.18998001552,62.8726126517424,63.3634934766414
"X1995",28.5442284690536,129.747266169365,61.520526432727,62.3704251929425
"X1996",27.8648748466227,129.042255251487,59.8727031828531,61.1120108218036
"X1997",27.1057063813257,128.090082575305,58.0744492030054,59.7051796606679
"X1998",26.5687805344022,126.212822733661,56.6859721382327,58.5636498179516
"X1999",26.0293870236257,124.365187419778,55.1092170788594,57.2688372265249
"X2000",25.5137387604796,122.638572471935,53.3675985382045,55.8488989023518
"X2001",24.9874363569015,121.03383376423,51.4941917885234,54.2908982312416
"X2002",24.4703491438281,119.538756338596,49.4903215276847,52.6332022290674
"X2003",24.3072872775281,117.883850250163,47.7777561176413,51.230565102904
"X2004",24.1247653978098,116.247961786685,46.2941305516177,50.0179556540593
"X2005",23.9001650606564,114.599999962827,45.1243768635763,49.0718220871196
"X2006",23.5886262506379,112.900885434524,44.2061859009212,48.3158521524622
"X2007",23.2460478404932,111.220719635777,43.5534102469696,47.8002486716774
"X2008",22.3506674668562,109.305601566166,43.3795585684416,47.5876000226215
"X2009",21.4456016578838,107.407888016397,43.2282661841611,47.4006420731243
"X2010",20.5377104218849,105.523738444265,42.983763433291,47.1406746623318
"X2011",19.6219806441993,103.669830151014,42.6462646930298,46.7859942209567
"X2012",18.6847133750301,101.78914322191,42.2187538298745,46.3567136459127
"X2013",17.9460533690466,100.073410939289,41.8442974909969,46.0136450334509
"X2014",17.2204509662759,98.3413406451647,41.3953275791737,45.6100089278874
"X2015",16.511953976057,96.6042457861003,40.8756887417611,45.146149702049
"X2016",15.7990338058473,94.891484252656,40.2531750342165,44.5645493762579
